Burning Time; Firing Node; Firing Neuron; Burning Node; Burning Neuron;External Source; From Internal State; To Internal State; Step in State; Post Synaptic Weight; Pre Synaptic Weight; Instant to Fire; (Afferent) Firing Time
0.2; 1; 100; 1; 0; true; 0.863423117308544; 0.937423117308544; 0.074; 1; 0.074;-1;0.2
0.2; 0; 100; 0; 0; true; 0.0119783519688288; 0.0869783519688288; 0.075; 1; 0.075;-1;0.2
0.2; 1; 139; 1; 39; true; 0.4853903916384219; 0.5593903916384219; 0.074; 1; 0.074;-1;0.2
0.2; 0; 149; 0; 49; true; 0.5917824470706347; 0.6667824470706346; 0.075; 1; 0.075;-1;0.2
0.2; 1; 101; 1; 1; true; 0.5449271973013239; 0.6189271973013238; 0.074; 1; 0.074;-1;0.2
0.2; 0; 101; 0; 1; true; 0.9045900826867086; 0.9795900826867086; 0.075; 1; 0.075;-1;0.2
0.2; 1; 103; 1; 3; true; 0.9527256532474937; 1.0267256532474938; 0.074; 1; 0.074;-1;0.2
0.2; 1; 107; 1; 7; true; 0.7285001233839864; 0.8025001233839864; 0.074; 1; 0.074;-1;0.2
0.2; 1; 115; 1; 15; true; 0.0582486451515418; 0.1322486451515418; 0.074; 1; 0.074;-1;0.2
0.2; 1; 131; 1; 31; true; 0.2370768518124584; 0.3110768518124584; 0.074; 1; 0.074;-1;0.2
0.2; 1; 132; 1; 32; true; 0.8316199394730304; 0.9056199394730303; 0.074; 1; 0.074;-1;0.2
0.2; 1; 116; 1; 16; true; 0.5414680085400799; 0.6154680085400799; 0.074; 1; 0.074;-1;0.2
0.2; 0; 103; 0; 3; true; 0.6267026597266455; 0.7017026597266455; 0.075; 1; 0.075;-1;0.2
0.2; 0; 107; 0; 7; true; 0.2253268068694116; 0.3003268068694117; 0.075; 1; 0.075;-1;0.2
0.2; 0; 115; 0; 15; true; 0.9672891566190631; 1.042289156619063; 0.075; 1; 0.075;23.8467236508855;0.2
0.2; 0; 131; 0; 31; true; 0.36510567632088; 0.44010567632088; 0.075; 1; 0.075;-1;0.2
0.2; 0; 132; 0; 32; true; 0.5677461601476284; 0.6427461601476283; 0.075; 1; 0.075;-1;0.2
0.2; 0; 116; 0; 16; true; 0.9007658779519762; 0.9757658779519761; 0.075; 1; 0.075;-1;0.2
0.2; 0; 133; 0; 33; true; 0.5715294101349176; 0.6465294101349176; 0.075; 1; 0.075;-1;0.2
0.2; 0; 134; 0; 34; true; 0.889328525792778; 0.964328525792778; 0.075; 1; 0.075;-1;0.2
0.2; 0; 108; 0; 8; true; 0.5939681555383783; 0.6689681555383783; 0.075; 1; 0.075;-1;0.2
0.2; 0; 117; 0; 17; true; 0.1320081771330294; 0.2070081771330294; 0.075; 1; 0.075;-1;0.2
0.2; 0; 135; 0; 35; true; 0.6247689552454051; 0.699768955245405; 0.075; 1; 0.075;-1;0.2
0.2; 0; 136; 0; 36; true; 0.9780679361494469; 1.0530679361494468; 0.075; 1; 0.075;19.04377031704904;0.2
0.2; 0; 118; 0; 18; true; 0.5424879226443533; 0.6174879226443533; 0.075; 1; 0.075;-1;0.2
0.2; 0; 137; 0; 37; true; 0.6179278203864372; 0.6929278203864372; 0.075; 1; 0.075;-1;0.2
0.2; 0; 138; 0; 38; true; 0.8318377010431944; 0.9068377010431944; 0.075; 1; 0.075;-1;0.2
0.2; 0; 104; 0; 4; true; 0.0242879720459736; 0.0992879720459736; 0.075; 1; 0.075;-1;0.2
0.2; 2; 100; 2; 0; true; 0.8828301672149518; 0.9568301672149517; 0.074; 1; 0.074;-1;0.2
0.2; 2; 139; 2; 39; true; 0.5248318312161494; 0.5988318312161494; 0.074; 1; 0.074;-1;0.2
0.2; 2; 101; 2; 1; true; 0.1275953577029252; 0.2015953577029252; 0.074; 1; 0.074;-1;0.2
